sk_torneo,tourney_id,tourney_name,tourney_level
1,2023-9900,United Cup,A
2,2023-2843,Adelaide 1,A
3,2023-0891,Pune,A
4,2023-0301,Auckland,A
5,2023-8998,Adelaide 2,A
6,2023-580,Australian Open,G
7,2023-9158,Cordoba,A
8,2023-0424,Dallas,A
9,2023-0375,Montpellier,A
10,2023-0499,Delray Beach,A
11,2023-0506,Buenos Aires,A
12,2023-0407,Rotterdam,A
13,2023-0451,Doha,A
14,2023-6932,Rio De Janeiro,A
15,2023-0496,Marseille,A
16,2023-0807,Acapulco,A
17,2023-0495,Dubai,A
18,2023-8996,Santiago,A
19,2023-0404,Indian Wells Masters,M
20,2023-0403,Miami Masters,M
21,2023-7290,Estoril,A
22,2023-0717,Houston,A
23,2023-0360,Marrakech,A
24,2023-0410,Monte Carlo Masters,M
25,2023-0425,Barcelona,A
26,2023-0308,Munich,A
27,2023-2841,Banja Luka,A
28,2023-1536,Madrid Masters,M
29,2023-0416,Rome Masters,M
30,2023-0322,Geneva,A
31,2023-7694,Lyon,A
32,2023-520,Roland Garros,G
33,2023-0440,s Hertogenbosch,A
34,2023-0321,Stuttgart,A
35,2023-0500,Halle,A
36,2023-0311,Queen's Club,A
37,2023-8994,Mallorca,A
38,2023-0741,Eastbourne,A
39,2023-540,Wimbledon,G
40,2023-0314,Gstaad,A
41,2023-0316,Bastad,A
42,2023-0315,Newport,A
43,2023-6116,Atlanta,A
44,2023-0414,Hamburg,A
45,2023-0439,Umag,A
46,2023-0319,Kitzbuhel,A
47,2023-7480,Los Cabos,A
48,2023-0418,Washington,A
49,2023-0421,Canada Masters,M
50,2023-0422,Cincinnati Masters,M
51,2023-6242,Winston-Salem,A
52,2023-560,Us Open,G
53,2023-7581,Chengdu,A
54,2023-9164,Zhuhai,A
55,2023-9410,Astana,A
56,2023-0747,Beijing,A
57,2023-5014,Shanghai Masters,M
58,2023-0429,Stockholm,A
59,2023-0329,Tokyo,A
60,2023-7485,Antwerp,A
61,2023-0328,Basel,A
62,2023-0337,Vienna,A
63,2023-0352,Paris Masters,M
64,2023-0341,Metz,A
65,2023-7434,Sofia,A
66,2023-0605,Tour Finals,A
67,2023-7696,NextGen Finals,F
68,2023-M-DC-2023-FLS-1-A-M-CAN-CHI-01,Davis Cup Finals RR: CAN vs CHI,D
69,2023-M-DC-2023-FLS-1-A-M-CAN-ITA-01,Davis Cup Finals RR: CAN vs ITA,D
70,2023-M-DC-2023-FLS-1-A-M-CAN-SWE-01,Davis Cup Finals RR: CAN vs SWE,D
71,2023-M-DC-2023-FLS-1-A-M-ITA-CHI-01,Davis Cup Finals RR: ITA vs CHI,D
72,2023-M-DC-2023-FLS-1-A-M-ITA-SWE-01,Davis Cup Finals RR: ITA vs SWE,D
73,2023-M-DC-2023-FLS-1-A-M-SWE-CHI-01,Davis Cup Finals RR: SWE vs CHI,D
74,2023-M-DC-2023-FLS-2-B-M-AUS-FRA-01,Davis Cup Finals RR: AUS vs FRA,D
75,2023-M-DC-2023-FLS-2-B-M-AUS-GBR-01,Davis Cup Finals RR: AUS vs GBR,D
76,2023-M-DC-2023-FLS-2-B-M-AUS-SUI-01,Davis Cup Finals RR: AUS vs SUI,D
77,2023-M-DC-2023-FLS-2-B-M-FRA-SUI-01,Davis Cup Finals RR: FRA vs SUI,D
78,2023-M-DC-2023-FLS-2-B-M-GBR-FRA-01,Davis Cup Finals RR: GBR vs FRA,D
79,2023-M-DC-2023-FLS-2-B-M-GBR-SUI-01,Davis Cup Finals RR: GBR vs SUI,D
80,2023-M-DC-2023-FLS-3-C-M-CZE-KOR-01,Davis Cup Finals RR: CZE vs KOR,D
81,2023-M-DC-2023-FLS-3-C-M-ESP-CZE-01,Davis Cup Finals RR: ESP vs CZE,D
82,2023-M-DC-2023-FLS-3-C-M-ESP-KOR-01,Davis Cup Finals RR: ESP vs KOR,D
83,2023-M-DC-2023-FLS-3-C-M-ESP-SRB-01,Davis Cup Finals RR: ESP vs SRB,D
84,2023-M-DC-2023-FLS-3-C-M-SRB-CZE-01,Davis Cup Finals RR: SRB vs CZE,D
85,2023-M-DC-2023-FLS-3-C-M-SRB-KOR-01,Davis Cup Finals RR: SRB vs KOR,D
86,2023-M-DC-2023-FLS-4-D-M-CRO-FIN-01,Davis Cup Finals RR: CRO vs FIN,D
87,2023-M-DC-2023-FLS-4-D-M-CRO-NED-01,Davis Cup Finals RR: CRO vs NED,D
88,2023-M-DC-2023-FLS-4-D-M-CRO-USA-01,Davis Cup Finals RR: CRO vs USA,D
89,2023-M-DC-2023-FLS-4-D-M-NED-FIN-01,Davis Cup Finals RR: NED vs FIN,D
90,2023-M-DC-2023-FLS-4-D-M-NED-USA-01,Davis Cup Finals RR: NED vs USA,D
91,2023-M-DC-2023-FLS-4-D-M-USA-FIN-01,Davis Cup Finals RR: USA vs FIN,D
92,2023-M-DC-2023-FLS-M-AUS-ITA-01,Davis Cup Finals F: AUS vs ITA,D
93,2023-M-DC-2023-FLS-M-CAN-FIN-01,Davis Cup Finals QF: CAN vs FIN,D
94,2023-M-DC-2023-FLS-M-CZE-AUS-01,Davis Cup Finals QF: CZE vs AUS,D
95,2023-M-DC-2023-FLS-M-FIN-AUS-01,Davis Cup Finals SF: FIN vs AUS,D
96,2023-M-DC-2023-FLS-M-ITA-NED-01,Davis Cup Finals QF: ITA vs NED,D
97,2023-M-DC-2023-FLS-M-ITA-SRB-01,Davis Cup Finals SF: ITA vs SRB,D
98,2023-M-DC-2023-FLS-M-SRB-GBR-01,Davis Cup Finals QF: SRB vs GBR,D
99,2023-M-DC-2023-QLS-M-ARG-FIN-01,Davis Cup QLS R1: ARG vs FIN,D
100,2023-M-DC-2023-QLS-M-BEL-KOR-01,Davis Cup QLS R1: BEL vs KOR,D
101,2023-M-DC-2023-QLS-M-CRO-AUT-01,Davis Cup QLS R1: CRO vs AUT,D
102,2023-M-DC-2023-QLS-M-CZE-POR-01,Davis Cup QLS R1: CZE vs POR,D
103,2023-M-DC-2023-QLS-M-FRA-HUN-01,Davis Cup QLS R1: FRA vs HUN,D
104,2023-M-DC-2023-QLS-M-GBR-COL-01,Davis Cup QLS R1: GBR vs COL,D
105,2023-M-DC-2023-QLS-M-GER-SUI-01,Davis Cup QLS R1: GER vs SUI,D
106,2023-M-DC-2023-QLS-M-KAZ-CHI-01,Davis Cup QLS R1: KAZ vs CHI,D
107,2023-M-DC-2023-QLS-M-NED-SVK-01,Davis Cup QLS R1: NED vs SVK,D
108,2023-M-DC-2023-QLS-M-SRB-NOR-01,Davis Cup QLS R1: SRB vs NOR,D
109,2023-M-DC-2023-QLS-M-SWE-BIH-01,Davis Cup QLS R1: SWE vs BIH,D
110,2023-M-DC-2023-QLS-M-USA-UZB-01,Davis Cup QLS R1: USA vs UZB,D
111,2023-M-DC-2023-WG1-M-ARG-LTU-01,Davis Cup WG1 R1: ARG vs LTU,D
112,2023-M-DC-2023-WG1-M-AUT-POR-01,Davis Cup WG1 R1: AUT vs POR,D
113,2023-M-DC-2023-WG1-M-BIH-GER-01,Davis Cup WG1 R1: BIH vs GER,D
114,2023-M-DC-2023-WG1-M-BUL-KAZ-01,Davis Cup WG1 R1: BUL vs KAZ,D
115,2023-M-DC-2023-WG1-M-DEN-BRA-01,Davis Cup WG1 R1: DEN vs BRA,D
116,2023-M-DC-2023-WG1-M-GRE-SVK-01,Davis Cup WG1 R1: GRE vs SVK,D
117,2023-M-DC-2023-WG1-M-ISR-JPN-01,Davis Cup WG1 R1: ISR vs JPN,D
118,2023-M-DC-2023-WG1-M-PER-NOR-01,Davis Cup WG1 R1: PER vs NOR,D
119,2023-M-DC-2023-WG1-M-UKR-COL-01,Davis Cup WG1 R1: UKR vs COL,D
120,2023-M-DC-2023-WG1-PO-BRA-CHN-01,Davis Cup WG1 PO: BRA vs CHN,D
121,2023-M-DC-2023-WG1-PO-IND-DEN-01,Davis Cup WG1 PO: IND vs DEN,D
122,2023-M-DC-2023-WG1-PO-ISR-LAT-01,Davis Cup WG1 PO: ISR vs LAT,D
123,2023-M-DC-2023-WG1-PO-PAK-LTU-01,Davis Cup WG1 PO: PAK vs LTU,D
124,2023-M-DC-2023-WG1-PO-PER-IRL-01,Davis Cup WG1 PO: PER vs IRL,D
125,2023-M-DC-2023-WG1-PO-ROU-THA-01,Davis Cup WG1 PO: ROU vs THA,D
126,2023-M-DC-2023-WG1-PO-TUR-SLO-01,Davis Cup WG1 PO: TUR vs SLO,D
127,2023-M-DC-2023-WG1-PO-UKR-LBN-01,Davis Cup WG1 PO: UKR vs LBN,D
128,2023-M-DC-2023-WG2-M-ESA-IRL-01,Davis Cup WG2 R1: ESA vs IRL,D
129,2023-M-DC-2023-WG2-M-HKG-LAT-01,Davis Cup WG2 R1: HKG vs LAT,D
130,2023-M-DC-2023-WG2-M-IND-MAR-01,Davis Cup WG2 R1: IND vs MAR,D
131,2023-M-DC-2023-WG2-M-LBN-JAM-01,Davis Cup WG2 R1: LBN vs JAM,D
132,2023-M-DC-2023-WG2-M-MEX-CHN-01,Davis Cup WG2 R1: MEX vs CHN,D
133,2023-M-DC-2023-WG2-M-MON-ECU-01,Davis Cup WG2 R1: MON vs ECU,D
134,2023-M-DC-2023-WG2-M-PAK-INA-01,Davis Cup WG2 R1: PAK vs INA,D
135,2023-M-DC-2023-WG2-M-SLO-LUX-01,Davis Cup WG2 R1: SLO vs LUX,D
136,2023-M-DC-2023-WG2-M-URU-EGY-01,Davis Cup WG2 R1: URU vs EGY,D
137,2023-M-DC-2023-WG2-PO-BAR-POC-01,Davis Cup WG2 PO: BAR vs POC,D
138,2023-M-DC-2023-WG2-PO-BOL-GEO-01,Davis Cup WG2 PO: BOL vs GEO,D
139,2023-M-DC-2023-WG2-PO-EGY-PAR-01,Davis Cup WG2 PO: EGY vs PAR,D
140,2023-M-DC-2023-WG2-PO-ESA-JOR-01,Davis Cup WG2 PO: ESA vs JOR,D
141,2023-M-DC-2023-WG2-PO-EST-JAM-01,Davis Cup WG2 PO: EST vs JAM,D
142,2023-M-DC-2023-WG2-PO-INA-VIE-01,Davis Cup WG2 PO: INA vs VIE,D
143,2023-M-DC-2023-WG2-PO-RSA-LUX-01,Davis Cup WG2 PO: RSA vs LUX,D
144,2023-M-DC-2023-WG2-PO-TUN-CYP-01,Davis Cup WG2 PO: TUN vs CYP,D
