sk_partido,sk_tiempo,sk_superficie,sk_torneo,sk_jugador_gan,sk_jugador_per,minutes,w_ace,l_ace,winner_rank,loser_rank
1,1,1.0,1,26188,26595,135.0,15.0,7.0,9.0,16.0
2,1,1.0,1,26192,59805,34.0,3.0,0.0,19.0,23.0
3,1,1.0,1,26188,28019,104.0,11.0,17.0,9.0,10.0
4,1,1.0,1,26192,52677,79.0,5.0,3.0,19.0,245.0
5,1,1.0,1,26759,26595,155.0,9.0,7.0,4.0,16.0
6,1,1.0,1,59805,61139,62.0,2.0,2.0,23.0,803.0
7,1,1.0,1,26759,6418,151.0,20.0,7.0,4.0,26.0
8,1,1.0,1,27324,61139,89.0,4.0,4.0,144.0,803.0
9,1,1.0,1,26595,28019,116.0,11.0,12.0,16.0,10.0
10,1,1.0,1,59805,59702,57.0,8.0,1.0,23.0,260.0
11,1,1.0,1,11800,26188,136.0,7.0,16.0,14.0,9.0
12,1,1.0,1,26192,5543,132.0,10.0,9.0,19.0,27.0
13,1,1.0,1,26759,5663,78.0,12.0,2.0,4.0,53.0
14,1,1.0,1,61139,52554,133.0,8.0,1.0,803.0,129.0
15,1,1.0,1,26759,5763,,12.0,11.0,4.0,28.0
16,1,1.0,1,6206,33003,67.0,2.0,2.0,196.0,506.0
17,1,1.0,1,5763,5663,102.0,10.0,2.0,28.0,53.0
18,1,1.0,1,6206,52554,87.0,2.0,4.0,196.0,129.0
19,1,1.0,1,28019,4526,99.0,11.0,9.0,10.0,148.0
20,1,1.0,1,44802,59702,72.0,3.0,0.0,56.0,260.0
21,1,1.0,1,28019,22315,129.0,18.0,15.0,10.0,37.0
22,1,1.0,1,59895,59702,131.0,3.0,2.0,142.0,260.0
23,1,1.0,1,4526,22315,90.0,10.0,7.0,148.0,37.0
24,1,1.0,1,44802,59895,,6.0,4.0,56.0,142.0
25,1,1.0,1,26188,644,64.0,8.0,3.0,9.0,12.0
26,1,1.0,1,26192,6200,75.0,9.0,10.0,19.0,76.0
27,1,1.0,1,26188,60390,,5.0,4.0,9.0,81.0
28,1,1.0,1,26192,60117,80.0,4.0,6.0,19.0,97.0
29,1,1.0,1,60390,644,92.0,5.0,1.0,81.0,12.0
30,1,1.0,1,6200,59781,109.0,7.0,0.0,76.0,222.0
31,1,1.0,1,52569,4742,162.0,3.0,2.0,24.0,2.0
32,1,1.0,1,6172,5070,129.0,10.0,4.0,107.0,39.0
33,1,1.0,1,11800,4742,164.0,6.0,10.0,14.0,2.0
34,1,1.0,1,5543,5070,139.0,5.0,3.0,27.0,39.0
35,1,1.0,1,11800,52569,,4.0,3.0,14.0,24.0
36,1,1.0,1,6172,5543,110.0,11.0,3.0,107.0,27.0
37,1,1.0,1,26595,6315,115.0,15.0,4.0,16.0,71.0
38,1,1.0,1,59805,52622,,9.0,1.0,23.0,166.0
39,1,1.0,1,26595,34755,86.0,10.0,4.0,16.0,3.0
40,1,1.0,1,59805,26325,108.0,7.0,6.0,23.0,343.0
41,1,1.0,1,34755,6315,71.0,8.0,2.0,3.0,71.0
42,1,1.0,1,52622,26325,87.0,5.0,11.0,166.0,343.0
43,1,1.0,1,6418,26224,113.0,10.0,8.0,26.0,44.0
44,1,1.0,1,27324,5166,170.0,14.0,9.0,144.0,46.0
45,1,1.0,1,26224,54390,,2.0,1.0,44.0,30.0
46,1,1.0,1,5166,5934,62.0,6.0,2.0,46.0,75.0
47,1,1.0,1,6418,54390,128.0,4.0,2.0,26.0,30.0
48,1,1.0,1,27324,5934,97.0,6.0,0.0,144.0,75.0
49,1,1.0,2,4920,52911,189.0,7.0,15.0,5.0,33.0
50,1,1.0,2,4920,6407,90.0,5.0,5.0,5.0,7.0
51,1,1.0,2,52911,6401,74.0,9.0,0.0,33.0,36.0
52,1,1.0,2,4920,33415,115.0,4.0,6.0,5.0,18.0
53,1,1.0,2,6407,11560,77.0,6.0,1.0,7.0,20.0
54,1,1.0,2,52911,58460,86.0,5.0,8.0,33.0,15.0
55,1,1.0,2,6401,52902,166.0,2.0,27.0,36.0,120.0
56,1,1.0,2,4920,11445,115.0,10.0,11.0,5.0,64.0
57,1,1.0,2,33415,26113,81.0,7.0,3.0,18.0,88.0
58,1,1.0,2,6407,52462,67.0,7.0,0.0,7.0,29.0
59,1,1.0,2,11560,60020,91.0,7.0,6.0,20.0,42.0
60,1,1.0,2,58460,6409,122.0,5.0,9.0,15.0,93.0
61,1,1.0,2,52911,5131,73.0,12.0,5.0,33.0,21.0
62,1,1.0,2,6401,11441,95.0,0.0,3.0,36.0,63.0
63,1,1.0,2,52902,6204,112.0,16.0,4.0,120.0,61.0
64,1,1.0,2,4920,5991,74.0,4.0,3.0,5.0,65.0
65,1,1.0,2,11445,11427,76.0,14.0,5.0,64.0,84.0
66,1,1.0,2,26113,44692,94.0,4.0,2.0,88.0,69.0
67,1,1.0,2,33415,60301,120.0,7.0,2.0,18.0,164.0
68,1,1.0,2,6407,32268,102.0,5.0,1.0,7.0,45.0
69,1,1.0,2,52462,6317,94.0,4.0,9.0,29.0,78.0
70,1,1.0,2,60020,26937,68.0,8.0,2.0,42.0,83.0
71,1,1.0,2,11560,6384,85.0,6.0,3.0,20.0,57.0
72,1,1.0,2,58460,6364,65.0,5.0,1.0,15.0,582.0
73,1,1.0,2,6409,54482,131.0,21.0,20.0,93.0,34.0
74,1,1.0,2,52911,4913,116.0,12.0,3.0,33.0,49.0
75,1,1.0,2,5131,26079,109.0,8.0,15.0,21.0,8.0
76,1,1.0,2,6401,60316,125.0,0.0,14.0,36.0,11.0
77,1,1.0,2,11441,23740,40.0,4.0,2.0,63.0,67.0
78,1,1.0,2,6204,4752,177.0,13.0,10.0,61.0,68.0
79,1,1.0,2,52902,52287,114.0,11.0,7.0,120.0,6.0
80,1,1.0,3,34853,26112,136.0,17.0,11.0,95.0,60.0
81,1,1.0,3,34853,6220,81.0,11.0,3.0,95.0,59.0
82,1,1.0,3,26112,22283,149.0,10.0,9.0,60.0,35.0
83,1,1.0,3,34853,5220,0.0,,,95.0,17.0
84,1,1.0,3,6220,24064,73.0,13.0,1.0,59.0,62.0
85,1,1.0,3,26112,5922,125.0,7.0,6.0,60.0,54.0
86,1,1.0,3,22283,9725,67.0,3.0,1.0,35.0,159.0
87,1,1.0,3,5220,6134,122.0,16.0,3.0,17.0,74.0
88,1,1.0,3,34853,6051,75.0,7.0,3.0,95.0,101.0
89,1,1.0,3,24064,54391,132.0,0.0,5.0,62.0,43.0
90,1,1.0,3,6220,26631,129.0,9.0,10.0,59.0,111.0
91,1,1.0,3,5922,11566,130.0,9.0,4.0,54.0,113.0
92,1,1.0,3,26112,52612,80.0,5.0,5.0,60.0,40.0
93,1,1.0,3,9725,11498,91.0,11.0,6.0,159.0,70.0
94,1,1.0,3,22283,60212,93.0,2.0,5.0,35.0,171.0
95,1,1.0,3,6134,26508,100.0,0.0,4.0,74.0,72.0
96,1,1.0,3,6051,5918,55.0,3.0,2.0,101.0,91.0
97,1,1.0,3,34853,44704,94.0,10.0,2.0,95.0,58.0
98,1,1.0,3,24064,6354,148.0,2.0,11.0,62.0,435.0
99,1,1.0,3,26631,5420,86.0,14.0,2.0,111.0,103.0
100,1,1.0,3,6220,4664,63.0,5.0,1.0,59.0,121.0
101,1,1.0,3,5922,11561,144.0,8.0,3.0,54.0,503.0
102,1,1.0,3,11566,64053,88.0,3.0,0.0,113.0,
103,1,1.0,3,26112,54645,61.0,2.0,2.0,60.0,115.0
104,1,1.0,3,11498,44669,64.0,12.0,2.0,70.0,50.0
105,1,1.0,3,9725,11186,112.0,12.0,5.0,159.0,127.0
106,1,1.0,3,60212,24139,98.0,6.0,1.0,171.0,340.0
107,2,1.0,4,4752,11800,147.0,3.0,8.0,67.0,12.0
108,2,1.0,4,4752,5991,0.0,,,67.0,65.0
109,2,1.0,4,11800,54672,98.0,3.0,4.0,12.0,48.0
110,2,1.0,4,5991,11498,166.0,5.0,8.0,65.0,70.0
111,2,1.0,4,4752,5663,94.0,6.0,8.0,67.0,53.0
112,2,1.0,4,54672,11445,114.0,2.0,13.0,48.0,64.0
113,2,1.0,4,11800,6204,123.0,5.0,6.0,12.0,60.0
114,2,1.0,4,11498,34755,127.0,18.0,10.0,70.0,3.0
115,2,1.0,4,5991,6282,123.0,4.0,7.0,65.0,88.0
